Order_date,number_of_pallet,Nb_of_colli,Workload(hrs),Total_number_of_pallet,Number_of_orders,order_freq,day,month,week,quarter
2022-11-08,244.0,2243.0,275.95,289.0,5476,high,8,11,45,4
2022-11-09,153.0,3259.0,279.37,218.0,4155,high,9,11,45,4
2022-11-10,287.0,3012.0,335.13,347.0,4079,high,10,11,45,4
2022-11-14,657.0,2878.0,514.8,715.0,3560,low,14,11,46,4
2022-11-15,432.0,2352.0,382.33,479.0,5051,high,15,11,46,4
2022-11-16,363.0,2198.0,327.95,407.0,3818,high,16,11,46,4
2022-11-17,211.0,1724.0,224.74,245.0,2729,medium,17,11,46,4
2022-11-18,216.0,1211.0,201.9,240.0,4252,high,18,11,46,4
2022-11-21,1158.0,2857.0,795.49,1215.0,5827,high,21,11,47,4
2022-11-22,456.0,2652.0,403.72,509.0,3914,high,22,11,47,4
2022-11-23,500.0,1407.0,359.37,528.0,2816,medium,23,11,47,4
2022-11-24,162.0,2098.0,220.3,204.0,3197,medium,24,11,47,4
2022-11-25,395.0,2367.0,352.1,442.0,3443,medium,25,11,47,4
2022-11-28,1458.0,2208.0,899.13,1502.0,3253,medium,28,11,48,4
2022-11-29,932.0,1552.0,583.34,963.0,2773,medium,29,11,48,4
2022-11-30,402.0,1385.0,300.05,430.0,1967,medium,30,11,48,4
2022-12-01,992.0,2540.0,675.18,1043.0,4118,high,1,12,48,4
2022-12-05,2235.0,2751.0,1358.61,2290.0,7961,high,5,12,49,4
2022-12-06,1132.0,1614.0,693.72,1164.0,3467,medium,6,12,49,4
2022-12-07,770.0,2166.0,543.43,813.0,3783,high,7,12,49,4
2022-12-08,477.0,1854.0,369.01,514.0,2964,medium,8,12,49,4
2022-12-09,379.0,2339.0,347.07,426.0,4468,high,9,12,49,4
2022-12-12,674.0,2225.0,492.01,718.0,3418,medium,12,12,50,4
2022-12-13,828.0,2001.0,561.67,868.0,3730,high,13,12,50,4
2022-12-14,527.0,1975.0,397.44,566.0,2737,medium,14,12,50,4
2022-12-15,168.0,1621.0,194.04,200.0,2783,medium,15,12,50,4
2022-12-16,878.0,1658.0,571.8,911.0,4316,high,16,12,50,4
2022-12-19,617.0,2591.0,487.05,669.0,3462,medium,19,12,51,4
2022-12-21,642.0,1653.0,449.58,675.0,3964,high,21,12,51,4
2022-12-23,79.0,1548.0,135.11,110.0,2173,medium,23,12,51,4
2022-12-26,46.0,1004.0,86.26,66.0,1256,low,26,12,52,4
2022-12-27,478.0,1507.0,336.52,508.0,1648,medium,27,12,52,4
2022-12-28,358.0,1153.0,259.72,381.0,2028,medium,28,12,52,4
2022-12-29,109.0,996.0,122.89,129.0,2288,medium,29,12,52,4
2022-12-30,233.0,931.0,187.07,252.0,2991,medium,30,12,52,4
2023-01-02,593.0,3334.0,520.86,660.0,5609,high,2,1,1,1
2023-01-03,472.0,2026.0,377.26,513.0,2629,medium,3,1,1,1
2023-01-04,401.0,1489.0,310.39,431.0,2856,medium,4,1,1,1
2023-01-05,317.0,1852.0,287.15,354.0,2689,medium,5,1,1,1
