Order_date,T_Nb_of_pallets,Nb_of_colli,Time(hrs),Total_Nb_Pallet,Number_of_orders,Order_frequency,Month,Day,Week,Quarter
26-10-2022,137.0,1628.0,194.92,170.0,734,high,10,26,43,4
26-12-2022,35.0,1004.0,85.75,55.0,355,medium,12,26,52,4
27-02-2023,356.0,1911.0,334.7,394.0,824,high,2,27,9,1
27-03-2023,140.0,2264.0,259.71,185.0,1205,high,3,27,13,1
27-04-2023,195.0,1355.0,211.18,222.0,601,high,4,27,17,2
27-06-2023,202.0,1695.0,231.53,236.0,801,high,6,27,26,2
27-07-2023,66.0,3108.0,236.93,128.0,1385,high,7,27,30,3
27-09-2022,119.0,1624.0,181.5,151.0,671,high,9,27,39,3
27-10-2022,51.0,2310.0,192.04,97.0,1003,high,10,27,43,4
27-12-2022,148.0,1507.0,172.84,178.0,653,high,12,27,52,4
28-02-2023,234.0,2158.0,293.91,277.0,965,high,2,28,9,1
28-03-2023,197.0,2597.0,299.74,249.0,1369,high,3,28,13,1
28-04-2023,308.0,2098.0,333.13,350.0,862,high,4,28,17,2
28-06-2023,80.0,1663.0,169.47,113.0,665,high,6,28,26,2
28-07-2022,133.0,1578.0,176.38,165.0,671,high,7,28,30,3
28-07-2023,119.0,1814.0,199.14,155.0,727,high,7,28,30,3
28-09-2022,70.0,1636.0,148.62,103.0,658,high,9,28,39,3
28-10-2022,98.0,1762.0,170.38,133.0,666,high,10,28,43,4
28-11-2022,330.0,2207.0,335.85,374.0,982,high,11,28,48,4
28-12-2022,134.0,1153.0,150.55,157.0,518,medium,12,28,52,4
29-03-2023,150.0,1290.0,183.39,176.0,695,high,3,29,13,1
29-07-2022,214.0,2373.0,267.28,261.0,624,high,7,29,30,3
29-08-2022,200.0,2044.0,252.55,241.0,968,high,8,29,35,3
29-09-2022,67.0,1434.0,135.23,96.0,565,medium,9,29,39,3
29-11-2022,222.0,1552.0,230.17,253.0,612,high,11,29,48,4
29-12-2022,109.0,996.0,128.9,129.0,518,medium,12,29,52,4
30-01-2023,341.0,3397.0,413.11,409.0,1274,high,1,30,5,1
30-03-2023,154.0,2082.0,220.35,196.0,801,high,3,30,13,1
30-05-2023,87.0,1759.0,183.88,122.0,792,high,5,30,22,2
30-06-2023,214.0,1238.0,217.93,239.0,664,high,6,30,26,2
30-08-2022,161.0,2222.0,244.55,205.0,1121,high,8,30,35,3
30-09-2022,207.0,2565.0,294.19,258.0,1125,high,9,30,39,3
30-11-2022,167.0,1385.0,192.6,195.0,684,high,11,30,48,4
30-12-2022,122.0,931.0,135.72,141.0,454,medium,12,30,52,4
31-01-2023,111.0,2179.0,230.43,155.0,860,high,1,31,5,1
31-03-2023,112.0,1543.0,178.56,143.0,762,high,3,31,13,1
31-05-2023,557.0,2247.0,462.72,602.0,775,high,5,31,22,2
31-07-2023,78.0,1455.0,149.89,107.0,532,medium,7,31,31,3
31-08-2022,331.0,3291.0,405.48,397.0,1389,high,8,31,35,3
31-10-2022,127.0,2288.0,231.87,173.0,1263,high,10,31,44,4
